City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,23.75,88,100,10.37,ZA,1737576115
1,kingston,17.997,-76.7936,30.09,70,40,8.23,JM,1737575901
2,nizhneangarsk,55.7833,109.55,-13.61,86,66,1.63,RU,1737576117
3,papatowai,-46.5619,169.4708,13.82,97,100,3.61,NZ,1737576118
4,san antonio de pale,-1.4014,5.6325,26.86,81,64,5.68,GQ,1737576120
5,port-aux-francais,-49.35,70.2167,5.02,86,93,14.5,TF,1737576121
6,rio grande,-32.035,-52.0986,25.58,72,0,5.02,BR,1737576123
7,aasiaat,68.7098,-52.8699,-5.65,81,100,8.37,GL,1737576125
8,hamilton,39.1834,-84.5333,-5.77,42,97,2.68,US,1737576126
9,youhao,47.8667,128.8333,-27.32,100,98,0.3,CN,1737576127
10,kutum,14.2,24.6667,20.21,19,1,5.56,SD,1737576129
11,tabora,-5.0167,32.8,18.29,92,100,0.73,TZ,1737576131
12,invercargill,-46.4,168.35,13.9,97,100,0.89,NZ,1737576132
13,kodiak,57.79,-152.4072,2.99,82,82,2.84,US,1737576133
14,senador jose porfirio,-2.5908,-51.9542,26.45,85,66,1.62,BR,1737576134
15,udachny,66.4167,112.4,-21.63,98,100,1.42,RU,1737576135
16,adamstown,-25.066,-130.1015,24.82,80,5,4.38,PN,1737576136
17,badger,64.8,-147.5333,-11.68,90,100,1.09,US,1737576138
18,bethel,41.3712,-73.414,-6.15,35,0,0.89,US,1737576139
19,nikolayevsk-on-amure,53.1406,140.73,-20.89,98,74,1.81,RU,1737576140
20,iqaluit,63.7506,-68.5145,-14.15,72,100,9.26,CA,1737576141
21,aykhal,66.0,111.5,-18.62,99,100,1.68,RU,1737576142
22,magadan,59.5667,150.8,-25.07,77,0,2.09,RU,1737576001
23,saipan,15.1355,145.701,26.47,82,63,4.92,MP,1737576145
24,luganville,-15.5333,167.1667,27.62,81,52,0.77,VU,1737576146
